,Enemy training group,Algorithm,Run,Repetition,Enemy,Energy enemy,Enegy player
394,1,Roulette,10,5,7,0,4.0000000000002345
395,1,Roulette,10,1,8,0,22.600000000000243
396,1,Roulette,10,2,8,0,22.600000000000243
397,1,Roulette,10,3,8,0,22.600000000000243
398,1,Roulette,10,4,8,0,22.600000000000243
399,1,Roulette,10,5,8,0,22.600000000000243
400,2,Roulette,1,1,1,80.0,0
401,2,Roulette,1,2,1,80.0,0
402,2,Roulette,1,3,1,80.0,0
403,2,Roulette,1,4,1,80.0,0
404,2,Roulette,1,5,1,80.0,0
405,2,Roulette,1,1,2,0,4
406,2,Roulette,1,2,2,0,4
407,2,Roulette,1,3,2,0,4
408,2,Roulette,1,4,2,0,4
409,2,Roulette,1,5,2,0,4
410,2,Roulette,1,1,3,70.0,0
411,2,Roulette,1,2,3,70.0,0
412,2,Roulette,1,3,3,70.0,0
413,2,Roulette,1,4,3,70.0,0
414,2,Roulette,1,5,3,70.0,0
415,2,Roulette,1,1,4,90.0,0
416,2,Roulette,1,2,4,90.0,0
417,2,Roulette,1,3,4,90.0,0
418,2,Roulette,1,4,4,90.0,0
419,2,Roulette,1,5,4,90.0,0
420,2,Roulette,1,1,5,0,13.600000000000229
421,2,Roulette,1,2,5,0,29.20000000000026
422,2,Roulette,1,3,5,0,39.40000000000028
423,2,Roulette,1,4,5,0,18.400000000000233
424,2,Roulette,1,5,5,0,21.40000000000024
425,2,Roulette,1,1,6,20.0,0
426,2,Roulette,1,2,6,20.0,0
427,2,Roulette,1,3,6,20.0,0
428,2,Roulette,1,4,6,20.0,0
429,2,Roulette,1,5,6,20.0,0
430,2,Roulette,1,1,7,20.0,0
431,2,Roulette,1,2,7,20.0,0
432,2,Roulette,1,3,7,20.0,0
433,2,Roulette,1,4,7,20.0,0
434,2,Roulette,1,5,7,20.0,0
435,2,Roulette,1,1,8,80.0,0
436,2,Roulette,1,2,8,80.0,0
437,2,Roulette,1,3,8,80.0,0
438,2,Roulette,1,4,8,80.0,0
439,2,Roulette,1,5,8,80.0,0
440,2,Roulette,2,1,1,70.0,0
441,2,Roulette,2,2,1,70.0,0
442,2,Roulette,2,3,1,70.0,0
443,2,Roulette,2,4,1,70.0,0
444,2,Roulette,2,5,1,70.0,0
445,2,Roulette,2,1,2,0,74
446,2,Roulette,2,2,2,0,74
447,2,Roulette,2,3,2,0,74
448,2,Roulette,2,4,2,0,74
449,2,Roulette,2,5,2,0,74
450,2,Roulette,2,1,3,50.0,0
451,2,Roulette,2,2,3,50.0,0
452,2,Roulette,2,3,3,50.0,0
453,2,Roulette,2,4,3,50.0,0
454,2,Roulette,2,5,3,50.0,0
455,2,Roulette,2,1,4,70.0,0
456,2,Roulette,2,2,4,70.0,0
457,2,Roulette,2,3,4,70.0,0
458,2,Roulette,2,4,4,70.0,0
459,2,Roulette,2,5,4,70.0,0
460,2,Roulette,2,1,5,0,36.400000000000276
461,2,Roulette,2,2,5,0,40.600000000000286
462,2,Roulette,2,3,5,0,35.800000000000274
463,2,Roulette,2,4,5,0,38.20000000000028
464,2,Roulette,2,5,5,0,32.200000000000266
465,2,Roulette,2,1,6,40.0,0
466,2,Roulette,2,2,6,40.0,0
467,2,Roulette,2,3,6,40.0,0
468,2,Roulette,2,4,6,40.0,0
469,2,Roulette,2,5,6,40.0,0
470,2,Roulette,2,1,7,20.0,0
471,2,Roulette,2,2,7,20.0,0
472,2,Roulette,2,3,7,20.0,0
473,2,Roulette,2,4,7,20.0,0
474,2,Roulette,2,5,7,20.0,0
475,2,Roulette,2,1,8,30.0,0
476,2,Roulette,2,2,8,30.0,0
477,2,Roulette,2,3,8,30.0,0
478,2,Roulette,2,4,8,30.0,0
479,2,Roulette,2,5,8,30.0,0
480,2,Roulette,3,1,1,100,0
481,2,Roulette,3,2,1,100,0
482,2,Roulette,3,3,1,100,0
483,2,Roulette,3,4,1,100,0
484,2,Roulette,3,5,1,100,0
485,2,Roulette,3,1,2,0,42
486,2,Roulette,3,2,2,0,42
487,2,Roulette,3,3,2,0,42
488,2,Roulette,3,4,2,0,42
489,2,Roulette,3,5,2,0,42
490,2,Roulette,3,1,3,70.0,0
491,2,Roulette,3,2,3,70.0,0
492,2,Roulette,3,3,3,70.0,0
493,2,Roulette,3,4,3,70.0,0
494,2,Roulette,3,5,3,70.0,0
495,2,Roulette,3,1,4,70.0,0
496,2,Roulette,3,2,4,70.0,0
497,2,Roulette,3,3,4,70.0,0
498,2,Roulette,3,4,4,70.0,0
499,2,Roulette,3,5,4,70.0,0
500,2,Roulette,3,1,5,60.0,0
501,2,Roulette,3,2,5,0,28.600000000000257
502,2,Roulette,3,3,5,0,14.800000000000228
503,2,Roulette,3,4,5,60.0,0
504,2,Roulette,3,5,5,0,18.400000000000233
505,2,Roulette,3,1,6,60.0,0
506,2,Roulette,3,2,6,60.0,0
507,2,Roulette,3,3,6,60.0,0
508,2,Roulette,3,4,6,60.0,0
509,2,Roulette,3,5,6,60.0,0
510,2,Roulette,3,1,7,20.0,0
511,2,Roulette,3,2,7,20.0,0
512,2,Roulette,3,3,7,20.0,0
513,2,Roulette,3,4,7,20.0,0
514,2,Roulette,3,5,7,20.0,0
515,2,Roulette,3,1,8,0,21.40000000000024
516,2,Roulette,3,2,8,0,21.40000000000024
517,2,Roulette,3,3,8,0,21.40000000000024
518,2,Roulette,3,4,8,0,21.40000000000024
519,2,Roulette,3,5,8,0,21.40000000000024
520,2,Roulette,4,1,1,100,0
521,2,Roulette,4,2,1,100,0
522,2,Roulette,4,3,1,100,0
523,2,Roulette,4,4,1,100,0
524,2,Roulette,4,5,1,100,0
525,2,Roulette,4,1,2,0,66
526,2,Roulette,4,2,2,0,66
527,2,Roulette,4,3,2,0,66
528,2,Roulette,4,4,2,0,66
529,2,Roulette,4,5,2,0,66
530,2,Roulette,4,1,3,100,0
531,2,Roulette,4,2,3,100,0
532,2,Roulette,4,3,3,100,0
533,2,Roulette,4,4,3,100,0
534,2,Roulette,4,5,3,100,0
535,2,Roulette,4,1,4,90.0,0
536,2,Roulette,4,2,4,90.0,0
537,2,Roulette,4,3,4,90.0,0
538,2,Roulette,4,4,4,90.0,0
539,2,Roulette,4,5,4,90.0,0
540,2,Roulette,4,1,5,10.0,0
541,2,Roulette,4,2,5,0,27.400000000000254
